,departamento,cod_dpto,municipio,cod_mpio,dimension,sub_dimension,category,place_type,main_keywords,keyword,place_id,name,types,latitude,longitude,address,average_rating,user_ratings_total,place_link,phone,website,opening_hours,review_1_rating,review_1_text,review_2_rating,review_2_text,review_3_rating,review_3_text,review_4_rating,review_4_text,review_5_rating,review_5_text,city
0,CAUCA,19,SOTARA,19760,Infraestructura Turística,Servicios Turísticos,Alojamiento / Hospedajes,Hoteles,"""hotel"", ""eco-hotel""",hotel,ChIJ2RdJ7wPjL44R9p3Ulo6IH8o,Hotel Los Aposentos De La Virgen,"establishment,lodging,point_of_interest",2.352108,-76.68091369999999,"Cra. 15 #17-12, Timbío",4.2,220.0,https://maps.google.com/?cid=14564509865936723446,312 7775616,,Monday: Open 24 hours|Tuesday: Open 24 hours|Wednesday: Open 24 hours|Thursday: Open 24 hours|Friday: Open 24 hours|Saturday: Open 24 hours|Sunday: Open 24 hours,3.0,Good location but a little too noisy.,5.0,IeshnOw zow s,5.0,Xxx,1.0,"The room's cleanliness is very poor; the bedding, blankets, and bathrooms look dirty. There's dust on the bedside tables, and the smell of sewage is horrible.",1.0,"Terrible service. The sheets in the room were filthy, as was the bathroom. The staff was also extremely rude. I do not recommend it.",Cra. 15 #17-12
1,CAUCA,19,SOTARA,19760,Infraestructura Turística,Servicios Turísticos,Alojamiento / Hospedajes,Posadas rurales,"""posada rural"", ""hospedaje familiar""",hospedaje familiar,ChIJfdb5NQDjL44Rm8USbdb1CNc,Alojamiento Santa Bárbara,"establishment,lodging,point_of_interest",2.376807,-76.65663090000001,"98GV+P8, Timbío",5.0,2.0,https://maps.google.com/?cid=15494904819269944731,,https://www.inbayan.com/casas-campestres,,5.0,Very nice design. We had a great time and had beautiful views. I had a great time and it became a memorable experience. I would love to return here if I come to Cauca.,5.0,It is a beautiful and private place to relax.,,,,,,,98GV+P8
2,CAUCA,19,SOTARA,19760,Infraestructura Turística,Servicios Turísticos,Alojamiento / Hospedajes,Viviendas turísticas,"""vivienda turística"", ""apartamento turístico"", "" casa turística""",casa turística,ChIJj0FwW0TjL44RJmx-bQDSDo4,Casa Encanto Fernanda Artunduaga,"establishment,point_of_interest,tourist_attraction",2.3892656,-76.64593909999999,"99Q3+5Q, Sotará",4.0,4.0,https://maps.google.com/?cid=10236349902338550822,,,,5.0,Excellent place,5.0,,1.0,,5.0,,,,99Q3+5Q
3,CAUCA,19,LA SIERRA,19392,Infraestructura Turística,Servicios Turísticos,Alojamiento / Hospedajes,Fincas turísticas,"""finca turística""",finca turística,ChIJLYT-LwDrL44RNIPopRNQPBo,Finca Buena Vista,"establishment,point_of_interest,tourist_attraction",2.1569598,-76.74532769999999,"5743+QV, La Sierra",4.0,1.0,https://maps.google.com/?cid=1890473988906844980,,,,4.0,,,,,,,,,,5743+QV
4,CAUCA,19,SOTARA,19760,Infraestructura Turística,Servicios Turísticos,Alojamiento / Hospedajes,Fincas turísticas,"""finca turística""",finca turística,ChIJvzkL7uIdMI4R-oMRCPApgMY,Finca Santo Domingo,"establishment,point_of_interest,tourist_attraction",2.40609,-76.691688,"C845+C8, Timbío",5.0,5.0,https://maps.google.com/?cid=14303478527432950778,311 6361187,,Monday: Closed|Tuesday: 8:00 AM – 5:00 PM|Wednesday: 8:00 AM – 5:00 PM|Thursday: 8:00 AM – 5:00 PM|Friday: 8:00 AM – 5:00 PM|Saturday: 8:00 AM – 5:00 PM|Sunday: 8:00 AM – 5:00 PM,5.0,"A place full of greenery, not only for family and friends but also for pets. PDT. Mrs. Mila's plants are beautiful ❤️",5.0,"The weekend as a family we spent a sunny and very fun afternoon, in this magical place, what captivated us most was the spectacular sunset that we experienced, highly recommended",5.0,I was surprised by the diverse variety of flora on the site.,5.0,It is a very quiet place with very beautiful plants. ^^,5.0,,C845+C8
5,CAUCA,19,SOTARA,19760,Infraestructura Turística,Servicios Turísticos,Alojamiento / Hospedajes,Fincas turísticas,"""finca turística""",finca turística,ChIJZwCINgD9L44RIw5jy6UENig,Finca Aguacates Diana,"establishment,point_of_interest,tourist_attraction",2.3711463,-76.5974998,"9CC3+G4, Sotará",5.0,1.0,https://maps.google.com/?cid=2897508520387874339,,,,5.0,Lugar próspero para la siembra de aguacate,,,,,,,,,9CC3+G4
6,CAUCA,19,SOTARA,19760,Infraestructura Turística,Servicios Turísticos,Alojamiento / Hospedajes,Fincas turísticas,"""finca turística""",finca turística,ChIJdYx2XAD9L44Ri4NXVZbiqjU,"Estadero Y Finca ""La Diosa""","establishment,point_of_interest,tourist_attraction",2.3750259,-76.59928339999999,"9CG2+27, Sotará",4.0,2.0,https://maps.google.com/?cid=3867152365355762571,,,Monday: Closed|Tuesday: Closed|Wednesday: Closed|Thursday: Closed|Friday: Closed|Saturday: 10:00 AM – 3:00 AM|Sunday: 10:00 AM – 1:00 AM,5.0,It is a very nice place to be with family!!!,3.0,,,,,,,,9CG2+27
7,CAUCA,19,SOTARA,19760,Infraestructura Turística,Servicios Turísticos,Alojamiento / Hospedajes,Fincas turísticas,"""finca turística""",finca turística,ChIJae4zGgDjL44RCpRl3cGFfNw,Aso Finca Hato Viejo,"establishment,point_of_interest,tourist_attraction",2.3309075,-76.6644065,"Paispamba - Timbio, Timbío",,,https://maps.google.com/?cid=15887720653145871370,,,,,,,,,,,,,,Paispamba - Timbio
8,CAUCA,19,LA SIERRA,19392,Infraestructura Turística,Servicios Turísticos,Restaurantes,Restaurantes,"""restaurante""",restaurante,ChIJgd2QLtLpL44RpC366qgr3dw,Restaurante El Dorado,"establishment,food,point_of_interest,restaurant",2.199063,-76.81689899999999,La Sierra,4.4,402.0,https://maps.google.com/?cid=15914924662693965220,,,Monday: Open 24 hours|Tuesday: Open 24 hours|Wednesday: Open 24 hours|Thursday: Open 24 hours|Friday: Open 24 hours|Saturday: Open 24 hours|Sunday: Open 24 hours,4.0,Yummy food,4.0,"One of the restaurants serving the most delicious fried and sweated smoked tilapia on the road to the south. The size is worth the very affordable price. The only negative I found was the amount of salt, which was not my taste. Otherwise, it's very delicious.",4.0,"The tilapia is very delicious, both fruit and sweaty, they no longer have a salad but it is classic when you pass by in Cauca",4.0,A restaurant with ample parking. Their specialty is fried tilapia. Payment in cash.,4.0,"I thought it was a good experience, with a nice view and 16,000 yuan for the dishes. Everything was very fresh. The service took a while, but it was worth it.",
9,CAUCA,19,LA SIERRA,19392,Infraestructura Turística,Servicios Turísticos,Restaurantes,Restaurantes,"""restaurante""",restaurante,ChIJQ3T9H2rCL44R5HzOXpuMs2Q,Restaurante Parador Porkýs #1,"establishment,food,point_of_interest,restaurant",2.1892477,-76.8479591,"Párraga-Piedra Sentada, La Sierra",4.3,377.0,https://maps.google.com/?cid=7256298023562411236,312 5409830,https://instagram.com/paradorporkys?igshid=YmMyMTA2M2Y=,Monday: 7:00 AM – 9:00 PM|Tuesday: 7:00 AM – 9:00 PM|Wednesday: 7:00 AM – 9:00 PM|Thursday: 7:00 AM – 9:00 PM|Friday: 7:00 AM – 9:00 PM|Saturday: 7:00 AM – 9:00 PM|Sunday: 7:00 AM – 9:00 PM,1.0,"If you can find other choice, you will not regret.",5.0,Super,5.0,"It's a nice place to take a break and get something to eat. There's a variety of food and snacks, but their specialty is meat. The service is good, although it could be better. The prices are fair, but if you don't want to be surprised, I suggest getting a quote first.

Highly recommended. I would definitely eat at this inn again.",2.0,"The food is delicious, but the service is terrible. The waitresses and cook are grumpy, unwilling to serve, and even rude. This makes me want to stop there.",5.0,"Delicious food, very good service, highly recommended",Párraga-Piedra Sentada
