,departamento,municipio,cod_mpio,category,place_type,name,types,latitude,longitude,address,place_link,city,rating,text_en,municipality_std,text_es,text_es_norm,tokens_es,sentiment_score,sentiment_label,doc_clean
0,CAUCA,SOTARA,19760,Alojamiento / Hospedajes,Hoteles,Hotel Los Aposentos De La Virgen,"establishment,lodging,point_of_interest",2.352108,-76.68091369999999,"Cra. 15 #17-12, Timbío",https://maps.google.com/?cid=14564509865936723446,Cra. 15 #17-12,3.0,Good location but a little too noisy.,SOTARA,Buena ubicación pero demasiado ruidoso.,buena ubicacion pero demasiado ruidoso,"['buena', 'ubicacion', 'demasiado', 'ruidoso']",1,positive,buena ubicacion demasiado ruidoso
1,CAUCA,SOTARA,19760,Alojamiento / Hospedajes,Hoteles,Hotel Los Aposentos De La Virgen,"establishment,lodging,point_of_interest",2.352108,-76.68091369999999,"Cra. 15 #17-12, Timbío",https://maps.google.com/?cid=14564509865936723446,Cra. 15 #17-12,5.0,IeshnOw zow s,SOTARA,ISHNOW ZOW S,ishnow zow s,"['ishnow', 'zow']",0,neutral,ishnow zow
2,CAUCA,SOTARA,19760,Alojamiento / Hospedajes,Hoteles,Hotel Los Aposentos De La Virgen,"establishment,lodging,point_of_interest",2.352108,-76.68091369999999,"Cra. 15 #17-12, Timbío",https://maps.google.com/?cid=14564509865936723446,Cra. 15 #17-12,5.0,Xxx,SOTARA,Xxx,xxx,['xxx'],0,neutral,xxx
3,CAUCA,SOTARA,19760,Alojamiento / Hospedajes,Hoteles,Hotel Los Aposentos De La Virgen,"establishment,lodging,point_of_interest",2.352108,-76.68091369999999,"Cra. 15 #17-12, Timbío",https://maps.google.com/?cid=14564509865936723446,Cra. 15 #17-12,1.0,"The room's cleanliness is very poor; the bedding, blankets, and bathrooms look dirty. There's dust on the bedside tables, and the smell of sewage is horrible.",SOTARA,"La limpieza de la habitación es muy pobre; La ropa de cama, las mantas y los baños se ven sucios. Hay polvo en las mesas de noche, y el olor a aguas residuales es horrible.",la limpieza de la habitacion es muy pobre la ropa de cama las mantas y los banos se ven sucios hay polvo en las mesas de noche y el olor a aguas residuales es horrible,"['limpieza', 'habitacion', 'pobre', 'ropa', 'cama', 'mantas', 'banos', 'ven', 'sucios', 'polvo', 'mesas', 'noche', 'olor', 'aguas', 'residuales', 'horrible']",0,neutral,limpieza habitacion pobre ropa cama mantas banos ven sucios polvo mesas noche olor aguas residuales horrible
4,CAUCA,SOTARA,19760,Alojamiento / Hospedajes,Hoteles,Hotel Los Aposentos De La Virgen,"establishment,lodging,point_of_interest",2.352108,-76.68091369999999,"Cra. 15 #17-12, Timbío",https://maps.google.com/?cid=14564509865936723446,Cra. 15 #17-12,1.0,"Terrible service. The sheets in the room were filthy, as was the bathroom. The staff was also extremely rude. I do not recommend it.",SOTARA,"Terrible servicio. Las sábanas en la habitación estaban sucias, al igual que el baño. El personal también era extremadamente grosero. No lo recomiendo.",terrible servicio las sabanas en la habitacion estaban sucias al igual que el bano el personal tambien era extremadamente grosero no lo recomiendo,"['terrible', 'servicio', 'sabanas', 'habitacion', 'sucias', 'igual', 'bano', 'personal', 'tambien', 'extremadamente', 'grosero', 'recomiendo']",0,neutral,terrible servicio sabanas habitacion sucias igual bano personal tambien extremadamente grosero recomiendo
5,CAUCA,SOTARA,19760,Alojamiento / Hospedajes,Posadas rurales,Alojamiento Santa Bárbara,"establishment,lodging,point_of_interest",2.376807,-76.65663090000001,"98GV+P8, Timbío",https://maps.google.com/?cid=15494904819269944731,98GV+P8,5.0,Very nice design. We had a great time and had beautiful views. I had a great time and it became a memorable experience. I would love to return here if I come to Cauca.,SOTARA,Muy buen diseño. Lo pasamos muy bien y teníamos hermosas vistas. Lo pasé muy bien y se convirtió en una experiencia memorable. Me encantaría regresar aquí si vengo a Cauca.,muy buen diseno lo pasamos muy bien y teniamos hermosas vistas lo pase muy bien y se convirtio en una experiencia memorable me encantaria regresar aqui si vengo a cauca,"['buen', 'diseno', 'pasamos', 'bien', 'teniamos', 'hermosas', 'vistas', 'pase', 'bien', 'convirtio', 'experiencia', 'memorable', 'encantaria', 'regresar', 'vengo']",1,positive,buen diseno pasamos bien teniamos hermosas vistas pase bien convirtio experiencia memorable encantaria regresar vengo
6,CAUCA,SOTARA,19760,Alojamiento / Hospedajes,Posadas rurales,Alojamiento Santa Bárbara,"establishment,lodging,point_of_interest",2.376807,-76.65663090000001,"98GV+P8, Timbío",https://maps.google.com/?cid=15494904819269944731,98GV+P8,5.0,It is a beautiful and private place to relax.,SOTARA,Es un lugar hermoso y privado para relajarse.,es un lugar hermoso y privado para relajarse,"['lugar', 'hermoso', 'privado', 'relajarse']",1,positive,hermoso privado relajarse
7,CAUCA,SOTARA,19760,Alojamiento / Hospedajes,Viviendas turísticas,Casa Encanto Fernanda Artunduaga,"establishment,point_of_interest,tourist_attraction",2.3892656,-76.64593909999999,"99Q3+5Q, Sotará",https://maps.google.com/?cid=10236349902338550822,99Q3+5Q,5.0,Excellent place,SOTARA,Excelente lugar,excelente lugar,"['excelente', 'lugar']",1,positive,excelente
8,CAUCA,SOTARA,19760,Alojamiento / Hospedajes,Viviendas turísticas,Casa Encanto Fernanda Artunduaga,"establishment,point_of_interest,tourist_attraction",2.3892656,-76.64593909999999,"99Q3+5Q, Sotará",https://maps.google.com/?cid=10236349902338550822,99Q3+5Q,5.0,,SOTARA,,,[],0,neutral,
9,CAUCA,SOTARA,19760,Alojamiento / Hospedajes,Viviendas turísticas,Casa Encanto Fernanda Artunduaga,"establishment,point_of_interest,tourist_attraction",2.3892656,-76.64593909999999,"99Q3+5Q, Sotará",https://maps.google.com/?cid=10236349902338550822,99Q3+5Q,1.0,,SOTARA,,,[],0,neutral,
